game_id,team_id,a_team_id,spread1,spread2,price1,price2
21001129,1610612746,1610612756,5.0,-5.0,-105.0,-105.0
21001130,1610612760,1610612757,3.5,-3.5,-105.0,-105.0
21001131,1610612743,1610612758,-5.0,5.0,-102.0,-108.0
21001132,1610612747,1610612762,-8.5,8.5,-103.0,-107.0
21001133,1610612761,1610612741,14.5,-14.5,-105.0,-105.0
21001134,1610612750,1610612763,13.5,-13.5,-101.0,-109.0
21001135,1610612755,1610612749,-1.5,1.5,-108.0,-102.0
21001136,1610612742,1610612744,-5.5,5.5,-107.0,-103.0
21001137,1610612760,1610612746,-4.5,4.5,-110.0,-110.0
21001138,1610612756,1610612759,10.5,-10.5,-102.0,-118.0
21001139,1610612743,1610612747,6.5,-6.5,-102.0,-118.0
21001140,1610612765,1610612738,11.0,-11.0,-105.0,-105.0
21001141,1610612764,1610612766,8.0,-8.0,-102.0,-108.0
21001142,1610612748,1610612751,-10.5,10.5,-107.0,-103.0
21001143,1610612739,1610612752,12.5,-12.5,-105.0,-105.0
21001144,1610612753,1610612761,-9.5,9.5,-107.0,-103.0
21001145,1610612762,1610612758,6.5,-6.5,-108.0,-102.0
21001146,1610612737,1610612745,6.5,-6.5,-105.0,-105.0
21001147,1610612754,1610612740,4.5,-4.5,-105.0,-105.0
21001148,1610612742,1610612757,4.5,-4.5,-102.0,-108.0
21001149,1610612759,1610612737,-6.0,6.0,-110.0,-110.0
21001150,1610612766,1610612739,1.0,2.0,100.0,-110.0
21001151,1610612750,1610612751,5.5,-5.5,-108.0,-102.0
21001152,1610612749,1610612753,8.0,-8.0,-108.0,-102.0
21001153,1610612765,1610612764,0.0,0.0,-110.0,-110.0
21001154,1610612755,1610612738,5.5,-5.5,-103.0,-107.0
21001155,1610612761,1610612752,9.0,-9.0,-105.0,-105.0
21001156,1610612756,1610612741,11.0,-11.0,-108.0,-102.0
21001157,1610612746,1610612763,9.5,-8.5,-110.0,-110.0
21001158,1610612758,1610612745,8.5,-8.5,-102.0,-108.0
21001159,1610612760,1610612743,4.5,-4.5,-105.0,-105.0
